date, value 
2023-06-19, 2
2023-06-20, 2
2023-06-21, 1
2023-06-25, 1
2023-06-26, 1
2023-06-29, 1
2023-07-03, 2
2023-07-04, 2
2023-07-07, 1
2023-07-10, 1
2023-07-25, 1
2023-07-26, 1
2023-08-10, 1
2023-08-15, 1
2023-08-22, 1
2023-08-24, 1
2023-08-26, 1
2023-08-28, 1
2023-09-01, 1
2023-09-03, 1
2023-09-10, 1
2023-09-12, 1
2023-09-15, 1
2023-09-16, 1
2023-09-23, 1
2023-09-26, 1
2023-10-04, 1
2023-10-06, 1
2023-10-13, 1
2023-10-17, 1
2023-10-26, 3
2023-10-27, 1
2023-10-28, 1
2023-10-29, 1
2023-11-02, 1
2023-11-03, 2
2023-11-06, 3
2023-11-13, 2
2023-11-15, 2
2023-11-16, 4
2023-11-17, 1
2023-11-19, 1
2023-11-20, 2
2023-11-21, 2
2023-11-28, 1
2023-11-30, 1
2023-12-06, 1
2023-12-10, 1
2023-12-14, 2
2023-12-15, 1
2023-12-16, 1
2023-12-19, 2
2024-01-15, 1
2024-01-17, 1
2024-01-18, 2
2024-01-20, 1
2024-01-22, 1
2024-01-23, 2
2024-01-24, 1
2024-01-26, 1
2024-01-27, 1
2024-01-28, 3
2024-01-29, 4
2024-01-30, 6
2024-01-31, 1
2024-02-01, 1
2024-02-03, 1
2024-02-08, 2
2024-02-09, 1
2024-02-24, 1
2024-02-25, 1
2024-02-27, 2
2024-03-09, 1
2024-03-12, 1
2024-03-16, 1
2024-03-20, 1
2024-03-21, 1
2024-03-22, 1
2024-03-23, 1
2024-03-25, 1
2024-03-27, 1
2024-03-28, 1
2024-04-03, 1
2024-04-05, 1
2024-04-07, 1
2024-04-12, 1
2024-04-16, 1
2024-04-17, 1
2024-04-22, 2
2024-04-27, 1
2024-04-29, 1
2024-05-14, 1
2024-05-19, 2
2024-05-20, 1
2024-05-22, 2
2024-05-23, 2
2024-05-26, 1
2024-05-28, 1
2024-06-10, 1
2024-06-29, 1
2024-07-15, 1
2024-07-17, 2
2024-07-30, 1
2024-08-01, 1
2024-08-07, 1
2024-08-14, 1
2024-08-30, 1
2024-09-08, 2
2024-09-09, 3
2024-09-11, 2
2024-09-14, 1
2024-09-16, 2
2024-09-18, 1
2024-09-19, 1
2024-09-22, 1
2024-09-23, 1
2024-09-24, 1
2024-09-25, 2
2024-09-28, 2
2024-09-29, 1
2024-10-05, 1
2024-10-08, 1
2024-10-09, 1
2024-10-11, 1
2024-10-13, 1
2024-10-21, 2
